year,CO2,Other well mixed GHGs,Trop. O3,Strat. O3,Direct Sulphate Aerosol,Aerosol-Cloud Interactions,Biomass Burning Aerosol,Black & Organic Carbon Aerosol,Solar,Volcanic aerosols in Strat.
1880,0.22,0.09,0.07,0.0,-0.03,-0.1,-0.04,0.02,-0.04,-0.05
1881,0.22,0.09,0.07,0.0,-0.03,-0.1,-0.04,0.02,-0.01,-0.03
1882,0.23,0.09,0.07,0.0,-0.03,-0.1,-0.04,0.02,-0.02,-0.03
1883,0.23,0.09,0.07,0.0,-0.03,-0.1,-0.04,0.02,-0.03,-0.73
1884,0.24,0.1,0.07,0.0,-0.03,-0.11,-0.04,0.02,0.02,-3.8
1885,0.24,0.1,0.07,0.0,-0.03,-0.11,-0.04,0.02,0.0,-2.53
1886,0.25,0.1,0.08,0.0,-0.03,-0.11,-0.04,0.02,-0.01,-0.98
1887,0.26,0.1,0.08,0.0,-0.03,-0.11,-0.04,0.02,-0.03,-1.35
1888,0.27,0.1,0.08,0.0,-0.04,-0.11,-0.04,0.02,-0.04,-0.58
1889,0.27,0.11,0.08,0.0,-0.04,-0.11,-0.05,0.03,-0.04,-0.98
1890,0.28,0.11,0.08,0.0,-0.04,-0.12,-0.05,0.03,-0.04,-0.8
1891,0.29,0.11,0.08,0.0,-0.04,-0.12,-0.05,0.03,-0.02,-1.0
1892,0.3,0.11,0.08,0.0,-0.04,-0.12,-0.05,0.03,0.0,-0.53
1893,0.31,0.11,0.08,0.0,-0.05,-0.12,-0.05,0.03,0.04,-0.35
1894,0.32,0.11,0.08,0.0,-0.05,-0.13,-0.05,0.03,0.07,-0.13
1895,0.33,0.11,0.08,0.0,-0.05,-0.13,-0.04,0.03,0.05,-0.05
1896,0.33,0.11,0.08,0.0,-0.05,-0.13,-0.04,0.03,0.02,-0.15
1897,0.33,0.11,0.08,0.0,-0.05,-0.13,-0.04,0.04,0.0,-0.48
1898,0.34,0.11,0.09,0.0,-0.06,-0.14,-0.04,0.04,-0.01,-0.45
1899,0.34,0.12,0.09,0.0,-0.06,-0.14,-0.04,0.04,-0.02,-0.18
1900,0.34,0.12,0.09,0.0,-0.06,-0.14,-0.04,0.04,-0.03,-0.08
1901,0.34,0.12,0.09,0.0,-0.06,-0.15,-0.04,0.05,-0.04,-0.03
1902,0.34,0.12,0.09,0.0,-0.07,-0.15,-0.04,0.05,-0.05,-0.08
1903,0.35,0.13,0.09,0.0,-0.07,-0.16,-0.04,0.05,-0.04,-1.9
1904,0.36,0.13,0.09,0.0,-0.07,-0.16,-0.04,0.05,0.01,-1.28
1905,0.36,0.13,0.09,0.0,-0.08,-0.16,-0.03,0.05,-0.02,-0.48
1906,0.37,0.14,0.09,0.0,-0.08,-0.17,-0.03,0.05,0.03,-0.23
1907,0.38,0.14,0.09,0.0,-0.08,-0.17,-0.03,0.05,0.0,-0.15
1908,0.38,0.15,0.09,0.0,-0.08,-0.17,-0.03,0.05,0.02,-0.33
1909,0.39,0.15,0.1,0.0,-0.09,-0.18,-0.03,0.06,0.0,-0.15
1910,0.4,0.15,0.1,0.0,-0.09,-0.18,-0.03,0.06,-0.01,-0.08
1911,0.4,0.16,0.1,0.0,-0.09,-0.18,-0.03,0.06,-0.03,-0.05
1912,0.41,0.16,0.1,0.0,-0.09,-0.18,-0.03,0.06,-0.05,-0.03
1913,0.41,0.16,0.1,0.0,-0.09,-0.18,-0.04,0.06,-0.04,-0.8
1914,0.42,0.17,0.1,0.0,-0.09,-0.18,-0.04,0.06,-0.03,-0.35
1915,0.43,0.17,0.1,0.0,-0.1,-0.17,-0.04,0.06,0.01,-0.15
1916,0.44,0.18,0.1,0.0,-0.1,-0.17,-0.04,0.06,0.07,-0.1
1917,0.45,0.18,0.1,0.0,-0.1,-0.18,-0.04,0.06,0.09,-0.08
1918,0.45,0.19,0.11,0.0,-0.1,-0.18,-0.04,0.06,0.12,-0.05
1919,0.46,0.19,0.11,0.0,-0.1,-0.17,-0.04,0.06,0.07,-0.03
1920,0.47,0.19,0.11,0.0,-0.1,-0.18,-0.03,0.06,0.04,-0.03
1921,0.47,0.2,0.11,0.0,-0.1,-0.18,-0.03,0.06,0.01,-0.3
1922,0.48,0.2,0.11,0.0,-0.1,-0.18,-0.03,0.07,-0.01,-0.1
1923,0.48,0.2,0.11,0.0,-0.11,-0.18,-0.03,0.06,-0.03,-0.05
1924,0.49,0.2,0.11,0.0,-0.11,-0.18,-0.03,0.06,-0.03,-0.08
1925,0.49,0.21,0.11,0.0,-0.11,-0.19,-0.03,0.06,-0.02,-0.08
1926,0.5,0.21,0.12,0.0,-0.11,-0.19,-0.03,0.06,0.02,-0.05
1927,0.5,0.21,0.12,0.0,-0.11,-0.19,-0.03,0.06,0.06,-0.05
1928,0.51,0.21,0.12,0.0,-0.11,-0.19,-0.03,0.06,0.03,-0.05
1929,0.52,0.22,0.12,0.0,-0.12,-0.19,-0.03,0.06,0.03,-0.23
1930,0.52,0.22,0.12,0.0,-0.12,-0.19,-0.03,0.06,0.05,-0.2
1931,0.53,0.23,0.12,0.0,-0.12,-0.19,-0.03,0.06,0.01,-0.13
1932,0.54,0.23,0.12,0.0,-0.12,-0.19,-0.02,0.07,-0.02,-0.13
1933,0.54,0.23,0.13,0.0,-0.12,-0.19,-0.02,0.07,-0.03,-0.25
1934,0.55,0.24,0.13,0.0,-0.12,-0.19,-0.02,0.07,-0.03,-0.1
1935,0.56,0.24,0.13,0.0,-0.12,-0.19,-0.03,0.07,-0.01,-0.13
1936,0.56,0.24,0.13,0.0,-0.13,-0.19,-0.02,0.07,0.07,-0.08
1937,0.57,0.25,0.14,0.0,-0.13,-0.2,-0.03,0.07,0.09,-0.08
